"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Jain S.; Rathi R.","Jain, Sheetal (57193238234); Rathi, Rubal (57442371600)","57193238234; 57442371600","Do consumer values and perceived readiness impact secondhand luxury consumption? A goal-framing theory approach","2023","Journal of Product and Brand Management","32","7","","973","987","14","4","10.1108/JPBM-10-2021-3703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148299030&doi=10.1108%2fJPBM-10-2021-3703&partnerID=40&md5=935c80ebf3f54ac512d9b6eb62177d68","Luxe Analytics, Delhi, India; School of Management, BML Munjal University, Gurgaon, India; IIM Vishakhapatnam, Vishakhapatnam, India","Jain S., Luxe Analytics, Delhi, India, IIM Vishakhapatnam, Vishakhapatnam, India; Rathi R., School of Management, BML Munjal University, Gurgaon, India","Article","Final","","Scopus","2-s2.0-85148299030"
"Vasanthawada S.R.S.; Puppala H.; Prasad P.R.C.","Vasanthawada, S.R.S. (57810167700); Puppala, H. (57189240188); Prasad, P.R.C. (7202701814)","57810167700; 57189240188; 7202701814","Assessing impact of land-use changes on land surface temperature and modelling future scenarios of Surat, India","2023","International Journal of Environmental Science and Technology","20","7","","7657","7670","13","2","10.1007/s13762-022-04385-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134526704&doi=10.1007%2fs13762-022-04385-4&partnerID=40&md5=f767e3fc73cfe4cd288babef3ec0a2a1","School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Lab for Spatial Informatics, International Institute of Information Technology, Telangana, Hyderabad, 500032, India","Vasanthawada S.R.S., School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Puppala H., School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Prasad P.R.C., Lab for Spatial Informatics, International Institute of Information Technology, Telangana, Hyderabad, 500032, India","Article","Final","","Scopus","2-s2.0-85134526704"
"Das Dawn D.; Khan A.; Shaikh S.H.; Pal R.K.","Das Dawn, Debapratim (56543808800); Khan, Abhinandan (37665182000); Shaikh, Soharab Hossain (36761579500); Pal, Rajat Kumar (7201402133)","56543808800; 37665182000; 36761579500; 7201402133","A dictionary based model for bengali document classification","2023","Applied Intelligence","53","11","","14023","14042","19","1","10.1007/s10489-022-03955-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140112423&doi=10.1007%2fs10489-022-03955-w&partnerID=40&md5=21705f93a10ab13fbb5756c3e2d428d9","Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India; Product Development and Diversification, ARP Engineering, 147 Nilgunj Road, Kolkata, 700056, India; Department of Computer Science and Engineering, BML Munjal University, National Highway 8, 67KM Milestone, Haryana, Gurugram, 122413, India","Das Dawn D., Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India; Khan A., Product Development and Diversification, ARP Engineering, 147 Nilgunj Road, Kolkata, 700056, India; Shaikh S.H., Department of Computer Science and Engineering, BML Munjal University, National Highway 8, 67KM Milestone, Haryana, Gurugram, 122413, India; Pal R.K., Department of Computer Science and Engineering, University of Calcutta, Acharya Prafulla Chandra Roy Shiksha Prangan, JD-2, Sector-III, Saltlake, Kolkata, 700106, India","Article","Final","","Scopus","2-s2.0-85140112423"
"Puppala H.; Saikia P.; Kocherlakota P.; Suriapparao D.V.","Puppala, Harish (57189240188); Saikia, Pallabi (57204648753); Kocherlakota, Pritam (57208510266); Suriapparao, Dadi V. (56194862200)","57189240188; 57204648753; 57208510266; 56194862200","Evaluating the applicability of neural network to determine the extractable temperature from a shallow reservoir of Puga geothermal field","2023","International Journal of Thermofluids","17","","100259","","","","0","10.1016/j.ijft.2022.100259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143506166&doi=10.1016%2fj.ijft.2022.100259&partnerID=40&md5=85e49a7f4b65a508b8cd2b813801d6c9","School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Department of Computer Science and Engineering, Rajiv Gandhi Institute of Petroleum Technology, Uttar Pradesh, Jais, 229304, India; School of Technology, Pandit Deendayal Energy University, Gandhinagar, 382007, India","Puppala H., School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Saikia P., Department of Computer Science and Engineering, Rajiv Gandhi Institute of Petroleum Technology, Uttar Pradesh, Jais, 229304, India; Kocherlakota P., School of Technology, Pandit Deendayal Energy University, Gandhinagar, 382007, India; Suriapparao D.V., School of Technology, Pandit Deendayal Energy University, Gandhinagar, 382007, India","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85143506166"
"Sajid M.; Husain A.; Reddy J.; Alresheedi M.T.; Al Yahya S.A.; Al-Rajy A.","Sajid, Mohammad (56230453200); Husain, Akhlaq (56081150000); Reddy, Jaideep (57222468859); Alresheedi, Mohammad T. (57208746411); Al Yahya, Sulaiman A. (55576653200); Al-Rajy, Ahmed (58159739000)","56230453200; 56081150000; 57222468859; 57208746411; 55576653200; 58159739000","Box dimension of the border of Kingdom of Saudi Arabia","2023","Heliyon","9","4","e14846","","","","0","10.1016/j.heliyon.2023.e14846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151003517&doi=10.1016%2fj.heliyon.2023.e14846&partnerID=40&md5=f8268929e67f4416a96ceb8abbfb96bc","Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Department of Applied Sciences, BML Munjal University, Haryana, Gurgaon, 122413, India; School of Engineering & Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Department of Civil Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia","Sajid M., Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Husain A., Department of Applied Sciences, BML Munjal University, Haryana, Gurgaon, 122413, India; Reddy J., School of Engineering & Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Alresheedi M.T., Department of Civil Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Al Yahya S.A., Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia; Al-Rajy A., Department of Civil Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85151003517"
"Mokan M.; Shaikh S.H.; Relan D.; Gabrani G.","Mokan, Monika (58141506500); Shaikh, Soharab Hossain (36761579500); Relan, Devanjali (55662038700); Gabrani, Goldie (6602608380)","58141506500; 36761579500; 55662038700; 6602608380","Fundus image classification for diabetic retinopathy using deep learning","2023","Computational Intelligence Aided Systems for Healthcare Domain","","","","295","312","17","0","10.1201/9781003368342-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161165966&doi=10.1201%2f9781003368342-13&partnerID=40&md5=e5f9e14474635b353a58759c365bbfda","Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; VIPS-TC College of Engineering, Delhi, India","Mokan M., Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; Shaikh S.H., Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; Relan D., Department of Computer Science and Engineering, BML Munjal University, Gurgaon, India; Gabrani G., VIPS-TC College of Engineering, Delhi, India","Book chapter","Final","","Scopus","2-s2.0-85161165966"
"Agrawal A.; Chopra R.; Sharma G.D.; Rao A.; Vasa L.; Budhwar P.","Agrawal, Anirudh (57199398500); Chopra, Ritika (57216964669); Sharma, Gagan Deep (53064562000); Rao, Amar (57344924300); Vasa, Laszlo (16317891500); Budhwar, Pawan (6701694690)","57199398500; 57216964669; 53064562000; 57344924300; 16317891500; 6701694690","Work from home practices as corporate strategy- an integrative review","2023","Heliyon","9","9","e19894","","","","0","10.1016/j.heliyon.2023.e19894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171466958&doi=10.1016%2fj.heliyon.2023.e19894&partnerID=40&md5=e352af5344a7a12ba6a1509e40adecfa","Jindal Global Business School, O.P Jindal University, Sonipat, India; University School of Management Studies, Guru Gobind Singh Indraprastha University, Sector 16C, Dwarka, New Delhi, 110078, India; Jagan Institute of Management Studies, Sector 5, Rohini, India; School of Management, BML Munjal University, 67th KM Stone, NH-8, Haryana, Gurugram, 122413, India; School of Economics, Széchenyi István University, Hungary; Aston Business School, Aston University, Birmingham, United Kingdom","Agrawal A., Jindal Global Business School, O.P Jindal University, Sonipat, India; Chopra R., University School of Management Studies, Guru Gobind Singh Indraprastha University, Sector 16C, Dwarka, New Delhi, 110078, India, Jagan Institute of Management Studies, Sector 5, Rohini, India; Sharma G.D., University School of Management Studies, Guru Gobind Singh Indraprastha University, Sector 16C, Dwarka, New Delhi, 110078, India; Rao A., School of Management, BML Munjal University, 67th KM Stone, NH-8, Haryana, Gurugram, 122413, India; Vasa L., School of Economics, Széchenyi István University, Hungary; Budhwar P., Aston Business School, Aston University, Birmingham, United Kingdom","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171466958"
"Singh A.P.","Singh, Akhilendra Pratap (58351421300)","58351421300","Towards ‘the environmental state’: revelations from a design-oriented enquiry of environmental constitutionalism","2023","Environmental Law Review","25","2","","120","134","14","0","10.1177/14614529231166298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162992189&doi=10.1177%2f14614529231166298&partnerID=40&md5=1d5922bddd44ac82fb566d481175490b","School of Law, BML Munjal University, Gurugram, India","Singh A.P., School of Law, BML Munjal University, Gurugram, India","Article","Final","","Scopus","2-s2.0-85162992189"
"Prakash S.; Kakumanu U.; Badhotiya G.K.; Singh R.","Prakash, Surya (58602586200); Kakumanu, Udaykiran (58292288600); Badhotiya, Gaurav Kumar (57194168642); Singh, Ranbir (57309526600)","58602586200; 58292288600; 57194168642; 57309526600","Analysis of potato supply chain in Indian context using ISM","2023","AIP Conference Proceedings","2521","","040020","","","","0","10.1063/5.0113701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160416657&doi=10.1063%2f5.0113701&partnerID=40&md5=aeefc6e6a66d66bb911b670ee7b58493","BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India; Graphic Era (Deemed to Be University), Dehradun, India","Prakash S., BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India; Kakumanu U., BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India; Badhotiya G.K., Graphic Era (Deemed to Be University), Dehradun, India; Singh R., BML Munjal University, NH-8, 67 km milestone,Sidhrawali, Haryana, Gurgaon, 122413, India","Conference paper","Final","","Scopus","2-s2.0-85160416657"
"Roy S.; Paul A.","Roy, Subaran (57208440541); Paul, Anusree (58605373900)","57208440541; 58605373900","Role of Public Debt in Indian States in the Post-Reform Era","2023","South Asia Economic Journal","24","2","","180","215","35","0","10.1177/13915614231193997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171675296&doi=10.1177%2f13915614231193997&partnerID=40&md5=08c9810ce13a2ef1c56b8da422ddb111","Jindal School of Government and Public Policy, O P Jindal Global University, Haryana, Sonipat, India; School of Economics and Commerce, BML Munjal University, Haryana, Gurgaon, India","Roy S., Jindal School of Government and Public Policy, O P Jindal Global University, Haryana, Sonipat, India; Paul A., School of Economics and Commerce, BML Munjal University, Haryana, Gurgaon, India","Article","Final","","Scopus","2-s2.0-85171675296"
"Rana A.; Yadav A.; Gupta G.; Rana A.","Rana, Anchal (57542173700); Yadav, Aditya (57209138110); Gupta, Govind (57209792251); Rana, Abhimanyu (36182549900)","57542173700; 57209138110; 57209792251; 36182549900","Infrared sensitive mixed phase of V7O16 and V2O5 thin-films","2023","RSC Advances","13","22","","15334","15341","7","0","10.1039/d3ra00752a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161163663&doi=10.1039%2fd3ra00752a&partnerID=40&md5=5aa644e0b95b6891bd5cc47cbbc31f02","Centre for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, 122413, India; CSIR-National Physical Laboratory, K. S. Krishnan Marg, New Delhi, 110012, India","Rana A., Centre for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, 122413, India; Yadav A., CSIR-National Physical Laboratory, K. S. Krishnan Marg, New Delhi, 110012, India; Gupta G., CSIR-National Physical Laboratory, K. S. Krishnan Marg, New Delhi, 110012, India; Rana A., Centre for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, 122413, India","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85161163663"
"Shandilya S.; Arora J.; Vinayak K.","Shandilya, Sumit (57209291831); Arora, Jaskiran (57209296460); Vinayak, Kalluri (55874195600)","57209291831; 57209296460; 55874195600","PMDECS approach of red bin analysis - the art of problem solving in manufacturing industry","2023","International Journal of Six Sigma and Competitive Advantage","14","3","","300","329","29","0","10.1504/IJSSCA.2023.130301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161945420&doi=10.1504%2fIJSSCA.2023.130301&partnerID=40&md5=2b1e3ec827e273223707bd2a2ef2d9da","School of Management, BML Munjal University, 67, NH 48, Haryana, Kapriwas, 122413, India; SRM University, Kattankulathur, Tamil Nadu, 603203, India","Shandilya S., School of Management, BML Munjal University, 67, NH 48, Haryana, Kapriwas, 122413, India; Arora J., School of Management, BML Munjal University, 67, NH 48, Haryana, Kapriwas, 122413, India; Vinayak K., SRM University, Kattankulathur, Tamil Nadu, 603203, India","Article","Final","","Scopus","2-s2.0-85161945420"
"Puppala H.; Arora M.K.; Garlapati N.; Bheemaraju A.","Puppala, Harish (57189240188); Arora, Manoj Kumar (7103319791); Garlapati, Nagababu (57189441319); Bheemaraju, Amarnath (54392380300)","57189240188; 7103319791; 57189441319; 54392380300","GIS-MCDM based framework to evaluate site suitability and CO2 mitigation potential of earth-air-heat exchanger: A case study","2023","Renewable Energy","216","","119072","","","","0","10.1016/j.renene.2023.119072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165612360&doi=10.1016%2fj.renene.2023.119072&partnerID=40&md5=43a330d639ee3823065ea9edddc84075","Department of Civil Engineering, SRM University AP, Andhra Pradesh, Guntur, India; School of Technology, Pandit Deendayal Energy University, Gujarat, Gandhinagar, India; School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India","Puppala H., Department of Civil Engineering, SRM University AP, Andhra Pradesh, Guntur, India; Arora M.K., Department of Civil Engineering, SRM University AP, Andhra Pradesh, Guntur, India; Garlapati N., School of Technology, Pandit Deendayal Energy University, Gujarat, Gandhinagar, India; Bheemaraju A., School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India","Article","Final","","Scopus","2-s2.0-85165612360"
"Mishra A.; Upreti H.","Mishra, Ashish (7201441672); Upreti, Himanshu (57193790155)","7201441672; 57193790155","Computational analysis of radiative nanofluid flow past an inclined cylinder with slip effects using the Yamada–Ota model","2023","Numerical Heat Transfer; Part A: Applications","","","","","","","0","10.1080/10407782.2023.2258556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171577614&doi=10.1080%2f10407782.2023.2258556&partnerID=40&md5=8b58d102e2e1448d902b22c646f20337","Department of Applied Sciences and Engineering, Tula’s Institute, Uttarakhand, Dehradun, India; SoET, BML Munjal University, Haryana, Gurugram, India","Mishra A., Department of Applied Sciences and Engineering, Tula’s Institute, Uttarakhand, Dehradun, India; Upreti H., SoET, BML Munjal University, Haryana, Gurugram, India","Article","Article in press","","Scopus","2-s2.0-85171577614"
"Jaisinghani D.; Phutela N.","Jaisinghani, Dheryta (56826190600); Phutela, Nishtha (57193687658)","56826190600; 57193687658","Packets-to-Prediction: An Unobtrusive Mechanism for Identifying Coarse-Grained Sleep Patterns with WiFi MAC Layer Traffic","2023","Sensors","23","14","6631","","","","0","10.3390/s23146631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166030355&doi=10.3390%2fs23146631&partnerID=40&md5=d427d22215211eabbea16e3b307a4118","Department of Computer Science, College of Humanities, Arts, and Sciences, University of Northern Iowa, Cedar Falls, 50613, IA, United States; Department of Computer Science and Engineering, BML Munjal University, Gurugram, 122413, India","Jaisinghani D., Department of Computer Science, College of Humanities, Arts, and Sciences, University of Northern Iowa, Cedar Falls, 50613, IA, United States; Phutela N., Department of Computer Science and Engineering, BML Munjal University, Gurugram, 122413, India","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166030355"
"Gupta U.","Gupta, Urmi (58633876300)","58633876300","Looking Beyond “Human”: Animal and the Kashmiri Resistance Movement","2023","The Palgrave Handbook of New Directions in Kashmir Studies","","","","249","264","15","0","10.1007/978-3-031-28520-2_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173405231&doi=10.1007%2f978-3-031-28520-2_15&partnerID=40&md5=a5193530de5515a80e82595c5328269e","Jawaharlal Nehru University, Delhi, India; BML Munjal University, Gurgaon, India","Gupta U., Jawaharlal Nehru University, Delhi, India, BML Munjal University, Gurgaon, India","Book chapter","Final","","Scopus","2-s2.0-85173405231"
"Ganga S.; Uddin Z.; Asthana R.; Hassan H.; Bhardwaj A.","Ganga, Sai (57217525816); Uddin, Ziya (50862185600); Asthana, Rishi (16548831400); Hassan, Hamdy (57194234156); Bhardwaj, Arpit (49361153100)","57217525816; 50862185600; 16548831400; 57194234156; 49361153100","Modelling of Viscosity and Thermal Conductivity of Water-Based Nanofluids using Machine-Learning Techniques","2023","International Journal of Mathematical, Engineering and Management Sciences","8","5","","817","840","23","0","10.33889/IJMEMS.2023.8.5.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171424756&doi=10.33889%2fIJMEMS.2023.8.5.047&partnerID=40&md5=c01f83fd91f82bdbf547fe5ef7436a98","School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India; Energy Resources Engineering Department, Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Egypt","Ganga S., School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India; Uddin Z., School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India; Asthana R., School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India; Hassan H., Energy Resources Engineering Department, Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Egypt; Bhardwaj A., School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171424756"
"Chandra P.N.; Dash A.K.","Chandra, P. Narasimha (57541182700); Dash, Amiya K. (36442107300)","57541182700; 36442107300","Design of a Battery Cabinet for Electric Scooters to Facilitate Battery Swapping","2023","SAE Technical Papers","","","","","","","0","10.4271/2023-01-5025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160420182&doi=10.4271%2f2023-01-5025&partnerID=40&md5=9a705889d9caf1d7edaca1d555f89b3f","BML Munjal University, Department of Mechanical Engineering, India","Chandra P.N., BML Munjal University, Department of Mechanical Engineering, India; Dash A.K., BML Munjal University, Department of Mechanical Engineering, India","Conference paper","Final","","Scopus","2-s2.0-85160420182"
"Yadav A.; Sharma A.; Baloria V.; Singh P.; Gupta G.","Yadav, Aditya (57209138110); Sharma, Anuj (57359432900); Baloria, Vishal (57567250400); Singh, Preetam (56565913000); Gupta, Govind (57209792251)","57209138110; 57359432900; 57567250400; 56565913000; 57209792251","Ultrahigh sensitive NO sensor based on WO3 film with ppb-level sensitivity","2023","Ceramics International","49","5","","7853","7860","7","3","10.1016/j.ceramint.2022.10.284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141508794&doi=10.1016%2fj.ceramint.2022.10.284&partnerID=40&md5=223a01777d0e7439e8da3c9e342b10d4","Sensor Device & Metrology, CSIR-National Physical Laboratory (NPL), Dr. K. S. Krishnan Marg, New Delhi, 110012, India; Academy of Scientific & Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, 201002, India; Centre of Advanced Materials and Devices, BML Munjal University, Gurugram, 122413, India","Yadav A., Sensor Device & Metrology, CSIR-National Physical Laboratory (NPL), Dr. K. S. Krishnan Marg, New Delhi, 110012, India, Academy of Scientific & Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, 201002, India; Sharma A., Sensor Device & Metrology, CSIR-National Physical Laboratory (NPL), Dr. K. S. Krishnan Marg, New Delhi, 110012, India, Academy of Scientific & Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, 201002, India; Baloria V., Sensor Device & Metrology, CSIR-National Physical Laboratory (NPL), Dr. K. S. Krishnan Marg, New Delhi, 110012, India, Centre of Advanced Materials and Devices, BML Munjal University, Gurugram, 122413, India; Singh P., Sensor Device & Metrology, CSIR-National Physical Laboratory (NPL), Dr. K. S. Krishnan Marg, New Delhi, 110012, India, Academy of Scientific & Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, 201002, India; Gupta G., Sensor Device & Metrology, CSIR-National Physical Laboratory (NPL), Dr. K. S. Krishnan Marg, New Delhi, 110012, India, Academy of Scientific & Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, 201002, India","Article","Final","","Scopus","2-s2.0-85141508794"
"Das Dawn D.; Khan A.; Shaikh S.H.; Pal R.K.","Das Dawn, Debapratim (56543808800); Khan, Abhinandan (37665182000); Shaikh, Soharab Hossain (36761579500); Pal, Rajat Kumar (7201402133)","56543808800; 37665182000; 36761579500; 7201402133","A dataset for evaluating Bengali word sense disambiguation techniques","2023","Journal of Ambient Intelligence and Humanized Computing","14","4","","4057","4086","29","0","10.1007/s12652-022-04471-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144655549&doi=10.1007%2fs12652-022-04471-y&partnerID=40&md5=855f6871041f921cfec01a6fecbbb9f3","Department of Computer Science and Engineering, University of Calcutta, Calcutta, India; Product Development and Diversification, ARP Engineering, Calcutta, India; Department of Computer Science and Engineering, BML Munjal University, Kapriwas, India","Das Dawn D., Department of Computer Science and Engineering, University of Calcutta, Calcutta, India; Khan A., Product Development and Diversification, ARP Engineering, Calcutta, India; Shaikh S.H., Department of Computer Science and Engineering, BML Munjal University, Kapriwas, India; Pal R.K., Department of Computer Science and Engineering, University of Calcutta, Calcutta, India","Article","Final","","Scopus","2-s2.0-85144655549"
"Galshetwar V.M.; Patil P.W.; Chaudhary S.","Galshetwar, Vijay M. (56441683300); Patil, Prashant W. (57204924942); Chaudhary, Sachin (57193726298)","56441683300; 57204924942; 57193726298","LRNet: lightweight recurrent network for video dehazing","2023","Signal, Image and Video Processing","17","4","","1475","1483","8","1","10.1007/s11760-022-02356-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138366083&doi=10.1007%2fs11760-022-02356-3&partnerID=40&md5=052b39f06c0b58dfad59b27e2f96b8f0","Punjab Engineering College, Chandigarh, India; Applied Artificial Intelligence Institute, Deakin University, Geelong, Australia; School of Engineering and Technology, BML Munjal University, Gurugram, India","Galshetwar V.M., Punjab Engineering College, Chandigarh, India; Patil P.W., Applied Artificial Intelligence Institute, Deakin University, Geelong, Australia; Chaudhary S., School of Engineering and Technology, BML Munjal University, Gurugram, India","Article","Final","","Scopus","2-s2.0-85138366083"
"Singh D.; Vijay G.; Gupta A.; Yadav M.; Mishra A.; Khatter K.","Singh, Digvijay (57217456640); Vijay, Garvit (58318534500); Gupta, Akanksha (58319029300); Yadav, Manas (58317888800); Mishra, Atul (57214672356); Khatter, Kiran (54787827500)","57217456640; 58318534500; 58319029300; 58317888800; 57214672356; 54787827500","Pramanik Shastra: Blockchain-based Natural User Interfaces and Interaction Approach for Storage and Translation of Sanskrit Scripts","2023","2nd Edition of IEEE Delhi Section Owned Conference, DELCON 2023 - Proceedings","","","","","","","0","10.1109/DELCON57910.2023.10127433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162206044&doi=10.1109%2fDELCON57910.2023.10127433&partnerID=40&md5=d3d5cf9a87a08e49f92f0f8e423f4644","Bml Munjal University, Gurugram, India","Singh D., Bml Munjal University, Gurugram, India; Vijay G., Bml Munjal University, Gurugram, India; Gupta A., Bml Munjal University, Gurugram, India; Yadav M., Bml Munjal University, Gurugram, India; Mishra A., Bml Munjal University, Gurugram, India; Khatter K., Bml Munjal University, Gurugram, India","Conference paper","Final","","Scopus","2-s2.0-85162206044"
"Bhanot N.; Ahuja J.; Kidwai H.I.; Nayan A.; Bhatti R.S.","Bhanot, Neeraj (56112791000); Ahuja, Jaya (57210428467); Kidwai, Humaid Imran (57923690700); Nayan, Ankit (57924322300); Bhatti, Rajbir S. (57223644296)","56112791000; 57210428467; 57923690700; 57924322300; 57223644296","A sustainable economic revival plan for post-COVID-19 using machine learning approach – a case study in developing economy context","2023","Benchmarking","30","6","","1782","1805","23","1","10.1108/BIJ-09-2021-0564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139634906&doi=10.1108%2fBIJ-09-2021-0564&partnerID=40&md5=d7a5dbafd6d7374f4badfc09655f4739","CSIR-National Physical Laboratory, Ministry of Science and Technology, Government of India, New Delhi, India; School of Management, BML Munjal University, Gurgaon, India; Dr BR Ambedkar National Institute of Technology, Jalandhar, India; SynaptoCrats, Ludhiana, India; Department of International Business and Supply Chain Management, Bissett School of Business, Mount Royal University, Calgary, Canada","Bhanot N., CSIR-National Physical Laboratory, Ministry of Science and Technology, Government of India, New Delhi, India; Ahuja J., School of Management, BML Munjal University, Gurgaon, India; Kidwai H.I., Dr BR Ambedkar National Institute of Technology, Jalandhar, India, SynaptoCrats, Ludhiana, India; Nayan A., Dr BR Ambedkar National Institute of Technology, Jalandhar, India, SynaptoCrats, Ludhiana, India; Bhatti R.S., Department of International Business and Supply Chain Management, Bissett School of Business, Mount Royal University, Calgary, Canada","Article","Final","","Scopus","2-s2.0-85139634906"
